ImageNumber,ObjectNumber,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,Intensity_MedianIntensity_CDX2,Intensity_MedianIntensity_CK20,Intensity_MedianIntensity_CK7,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_Ki67,Intensity_MedianIntensity_PanCK
1,95,108,2035,884,2026,872,0.35098040103912354,0.007843137718737125,0.0,0.40980391204357147,0.0,0.03921568766236305
1,96,42,1767,884,1760,878,0.3294118046760559,0.23137253522872925,0.0,0.4901960790157318,0.0,0.03921568766236305
1,97,143,1860,889,1847,878,0.06666667014360428,0.027450978755950928,0.0,0.40392157435417175,0.0,0.0
1,98,35,399,886,392,881,0.45490196347236633,0.003921568859368563,0.0,0.41960784792900085,0.24313727021217346,0.0
1,99,304,276,889,257,873,0.3843137323856354,0.03529411926865578,0.0,0.4313725531101227,0.0,0.0313725508749485
1,100,36,265,891,259,885,0.40784314274787903,0.0313725508749485,0.0,0.41960783302783966,0.0,0.0
1,101,80,1770,890,1760,882,0.23333331942558289,0.2803921699523926,0.0,0.49215689301490784,0.0,0.037254903465509415
1,102,170,1869,899,1859,882,0.1725490242242813,0.007843137718737125,0.0,0.3745098114013672,0.0,0.0
1,103,49,1851,897,1844,890,0.10588235408067703,0.054901957511901855,0.0,0.36078429222106934,0.0,0.0
1,104,210,2053,902,2038,888,0.3019607812166214,0.02156862709671259,0.005882353289052844,0.43529412150382996,0.0,0.05294117517769337
1,105,64,422,912,414,904,0.3588235229253769,0.2705882489681244,0.0,0.41372549533843994,0.0,0.0
1,106,36,1484,909,1478,903,0.311764732003212,0.19411765784025192,0.019607844296842813,0.44901958107948303,0.0,0.34117646515369415
1,107,80,1874,914,1866,904,0.27843138575553894,0.027450978755950928,0.0,0.40784311294555664,0.0,0.0
1,108,56,320,915,313,907,0.4941176176071167,0.03529411926865578,0.30588236451148987,0.44509801268577576,0.003921568859368563,0.0
1,109,126,326,920,317,906,0.4588235020637512,0.05882352590560913,0.06666667014360428,0.45098036527633667,0.0,0.0
1,110,105,429,915,414,908,0.03921568766236305,0.05098038911819458,0.0,0.36078429222106934,0.0,0.10196077823638916
1,111,108,1776,933,1767,921,0.3764705955982208,0.0313725508749485,0.0,0.39411765336990356,0.0,0.10980391502380371
1,112,132,499,932,488,920,0.4411764591932297,0.0,0.0,0.3843137323856354,0.25882354378700256,0.0
1,113,77,1846,936,1839,925,0.2862745225429535,0.03529411926865578,0.0,0.3803921639919281,0.0,0.0
1,114,56,279,935,272,927,0.43529412150382996,0.09803921729326248,0.0,0.427450954914093,0.0,0.0
1,115,36,1975,933,1969,927,0.3490196317434311,0.029411764815449715,0.0,0.3843137323856354,0.0,0.1607843115925789
1,116,54,496,937,487,931,0.4156862795352936,0.003921568859368563,0.0,0.3588235229253769,0.0,0.0
1,117,42,1835,938,1828,932,0.3392156958580017,0.011764706578105688,0.0,0.3490195870399475,0.0,0.0
1,118,40,1974,938,1966,933,0.2960784435272217,0.029411764815449715,0.0,0.3901960849761963,0.0,0.35098040103912354
1,119,30,1830,939,1824,934,0.36078430712223053,0.005882353289052844,0.0,0.37254902720451355,0.0,0.0
